,S_0,S_1,E_0,E_1,I_0_AS,I_0_GP,I_0_H,I_0_ICU,I_1_AS,I_1_GP,I_1_H,I_1_ICU,R_0_AS,R_0_GP,R_0_H,R_0_ICU,R_1_AS,R_1_GP,R_1_H,R_1_ICU,D_0_AS,D_0_GP,D_0_H,D_0_ICU,D_1_AS,D_1_GP,D_1_H,D_1_ICU
3888,10968471.595093159,0.0,2941731.9191896827,0.0,3514935.117927954,555310.542296883,181951.9558380164,16206.610977771208,0.0,0.0,0.0,0.0,6004155.606818672,5335406.032623647,453071.24196607585,16801.76063260001,0.0,0.0,0.0,0.0,0.0,10692.196458163624,1271.1417610270664,94.27841637531068,0.0,0.0,0.0,0.0
3889,10953157.265364109,0.0,2939401.0809014584,0.0,3515914.5581761724,555039.5637328767,182025.1502780317,16226.334843508435,0.0,0.0,0.0,0.0,6013552.320741729,5342055.475968532,453818.5722945276,16836.444190236372,0.0,0.0,0.0,0.0,0.0,10705.521995928924,1273.2384793834442,94.47303353238847,0.0,0.0,0.0,0.0
3890,10937865.906027574,0.0,2937061.2855521943,0.0,3516882.928745242,554766.570419777,182097.75467064872,16246.038181470174,0.0,0.0,0.0,0.0,6022951.637904964,5348701.661674936,454566.2019818986,16871.169911059726,0.0,0.0,0.0,0.0,0.0,10718.841005360597,1275.336037624565,94.66788727648743,0.0,0.0,0.0,0.0
3891,10922597.532240452,0.0,2934712.5716168596,0.0,3517840.2277121157,554491.5674684326,182169.76854457302,16265.720858847484,0.0,0.0,0.0,0.0,6032353.52871661,5355344.565642433,455314.12860420917,16905.937751023448,0.0,0.0,0.0,0.0,0.0,10732.153438161191,1277.434428949685,94.86297736045222,0.0,0.0,0.0,0.0
3892,10907352.158866942,0.0,2932354.9776319517,0.0,3518786.453297437,554214.560014447,182241.19143661435,16285.382742977221,0.0,0.0,0.0,0.0,6041757.963580017,5361984.163832031,456062.3497355672,16940.747665796975,0.0,0.0,0.0,0.0,0.0,10745.459246156377,1279.5336465526934,95.05830353553414,0.0,0.0,0.0,0.0
3893,10892129.800479352,0.0,2929988.542194268,0.0,3519721.6038653636,553935.5532179913,182312.02289168944,16305.023701344266,0.0,0.0,0.0,0.0,6051164.912894081,5368620.432266497,456810.8629482038,16975.599610766196,0.0,0.0,0.0,0.0,0.0,10758.758381295587,1281.6336836222151,95.25386555139349,0.0,0.0,0.0,0.0
3894,10876930.471358981,0.0,2927613.3039596835,0.0,3520645.677923382,553654.552263619,182382.26246282423,16324.643601583666,0.0,0.0,0.0,0.0,6060574.347053619,5375253.347030644,457559.6658125065,17010.493541033717,0.0,0.0,0.0,0.0,0.0,10772.050795652596,1283.7345333417015,95.44966315610102,0.0,0.0,0.0,0.0
3895,10861754.185496978,0.0,2925229.3016419206,0.0,3521558.674122123,553371.5623600777,182451.90971115624,16344.242311482829,0.0,0.0,0.0,0.0,6069986.236449762,5381882.88427164,458308.75589705363,17045.429411419194,0.0,0.0,0.0,0.0,0.0,10785.336441426136,1285.8361888895292,95.64569609613977,0.0,0.0,0.0,0.0
3896,10846600.956595216,0.0,2922836.5740113263,0.0,3522460.5912551745,553086.5887401216,182520.9642059364,16363.819698983687,0.0,0.0,0.0,0.0,6079400.551470356,5388509.020199307,459058.1307686488,17080.40717645967,0.0,0.0,0.0,0.0,0.0,10798.615270940498,1287.938643439095,95.84196411640698,0.0,0.0,0.0,0.0
3897,10831470.798067166,0.0,2920435.1598936375,0.0,3523351.428258883,552799.6366603213,182589.42552453084,16383.375632184898,0.0,0.0,0.0,0.0,6088817.262500357,5395131.731086416,459807.78799235553,17115.42679040992,0.0,0.0,0.0,0.0,0.0,10811.887236646127,1290.0418901589132,96.038466960216,0.0,0.0,0.0,0.0
3898,10816363.723038811,0.0,2918025.098168757,0.0,3524231.1842121556,552510.7114008752,182657.29325242213,16402.909979343967,0.0,0.0,0.0,0.0,6098236.339922208,5401750.993268979,460557.7251315302,17150.488207242728,0.0,0.0,0.0,0.0,0.0,10825.152291120201,1292.14592221271,96.23520436929788,0.0,0.0,0.0,0.0
3899,10801279.744349508,0.0,2915606.4277695124,0.0,3525099.85833626,552219.8182654176,182724.5669832109,16422.422608879493,0.0,0.0,0.0,0.0,6107657.754116263,5408366.783146556,461307.93974785897,17185.591380649315,0.0,0.0,0.0,0.0,0.0,10838.410387067248,1294.2507327595242,96.43217608380378,0.0,0.0,0.0,0.0
3900,10786218.874552919,0.0,2913179.187680431,0.0,3525957.4499946153,551926.9625808274,182791.24631861664,16441.913389373294,0.0,0.0,0.0,0.0,6117081.47546116,5414979.077182538,462058.42940139055,17220.73626403964,0.0,0.0,0.0,0.0,0.0,10851.661477319718,1296.356314953801,96.6293818423066,0.0,0.0,0.0,0.0
3901,10771181.125917917,0.0,2910743.4169365023,0.0,3526803.958692581,551632.1496970357,182857.33086847846,16461.382189572603,0.0,0.0,0.0,0.0,6126507.4743342195,5421587.851904442,462809.19165057136,17255.922810542754,0.0,0.0,0.0,0.0,0.0,10864.905514838561,1298.4626619454907,96.82682138180303,0.0,0.0,0.0,0.0
3902,10756166.510429502,0.0,2908299.15462194,0.0,3527639.384077241,551335.3849868318,182922.8202507557,16480.82887839223,0.0,0.0,0.0,0.0,6135935.721111848,5428193.083904197,463560.2240522804,17291.15097300718,0.0,0.0,0.0,0.0,0.0,10878.142452713826,1300.5697668801454,97.02449443771566,0.0,0.0,0.0,0.0
3903,10741175.03978976,0.0,2905846.439868951,0.0,3528463.725937185,551036.6738456702,182987.71409152815,16500.253324916714,0.0,0.0,0.0,0.0,6145366.186169911,5434794.749838431,464311.52416186285,17326.42070400122,0.0,0.0,0.0,0.0,0.0,10891.372244165195,1302.677622899014,97.22240074389462,0.0,0.0,0.0,0.0
3904,10726206.725418767,0.0,2903385.31185649,0.0,3529276.984202284,550736.0216914739,183052.01202499634,16519.655398402556,0.0,0.0,0.0,0.0,6154798.839884157,5441392.826428762,465063.08953316655,17361.731955813386,0.0,0.0,0.0,0.0,0.0,10904.59484254261,1304.7862231391446,97.42054003262021,0.0,0.0,0.0,0.0
3905,10711261.578455549,0.0,2900915.8098090244,0.0,3530079.1589434617,550433.4339644396,183115.71369348108,16539.03496828033,0.0,0.0,0.0,0.0,6164233.652630593,5447987.290462076,465814.9177185757,17397.084680452746,0.0,0.0,0.0,0.0,0.0,10917.810201326807,1306.895560733479,97.6189120346046,0.0,0.0,0.0,0.0
3906,10696339.609759042,0.0,2898437.9729952915,0.0,3530870.2503724643,550128.9161268403,183178.81874742341,16558.391904156884,0.0,0.0,0.0,0.0,6173670.59478588,5454578.118790814,466567.00626904593,17432.47882964929,0.0,0.0,0.0,0.0,0.0,10931.018274129889,1309.0056288109504,97.81751647899404,0.0,0.0,0.0,0.0
3907,10681440.82990339,0.0,2895951.8407334727,0.0,3531650.258842073,549822.4736633966,183241.32684536625,16577.726075812054,0.0,0.0,0.0,0.0,6183109.636726855,5461165.28833246,467319.35273406375,17467.914354854245,0.0,0.0,0.0,0.0,0.0,10944.219014694312,1311.1164204963713,98.01635309337053,0.0,0.0,0.0,0.0
